Symbol,Element,AtomicMass,Category,Phase,f_std_Hz,f_phi2_Hz,phase_damping,f_std_phase_Hz,f_phi2_phase_Hz
Am,Americium,243,Anom,artificial,5.47E+25,2.09E+25,1,5.47E+25,2.09E+25
Cm,Curium,247,Anom,artificial,5.56E+25,2.12E+25,1,5.56E+25,2.12E+25
Bk,Berkelium,247,Anom,artificial,5.56E+25,2.12E+25,1,5.56E+25,2.12E+25
Cf,Californium,251,Anom,artificial,5.65E+25,2.16E+25,1,5.65E+25,2.16E+25
Es,Einsteinium,252,Anom,artificial,5.68E+25,2.17E+25,1,5.68E+25,2.17E+25
Fm,Fermium,257,Anom,artificial,5.79E+25,2.21E+25,1,5.79E+25,2.21E+25
Md,Mendelevium,258,Anom,artificial,5.81E+25,2.22E+25,1,5.81E+25,2.22E+25
No,Nobelium,259,Off,artificial,5.83E+25,2.23E+25,1,5.83E+25,2.23E+25
Lr,Lawrencium,262,Off,artificial,5.90E+25,2.25E+25,1,5.90E+25,2.25E+25
Rf,Rutherfordium,261,Off,artificial,5.88E+25,2.25E+25,1,5.88E+25,2.25E+25
Db,Dubnium,262,Anom,artificial,5.90E+25,2.25E+25,1,5.90E+25,2.25E+25
Sg,Seaborgium,266,Off,artificial,5.99E+25,2.29E+25,1,5.99E+25,2.29E+25
Bh,Bohrium,264,Anom,artificial,5.95E+25,2.27E+25,1,5.95E+25,2.27E+25
Hs,Hassium,267,Off,artificial,6.01E+25,2.30E+25,1,6.01E+25,2.30E+25
Mt,Meitnerium,268,Anom,artificial,6.04E+25,2.31E+25,1,6.04E+25,2.31E+25
Ds,Darmstadtium,271,Anom,artificial,6.10E+25,2.33E+25,1,6.10E+25,2.33E+25
Rg,Roentgenium,272,Off,artificial,6.13E+25,2.34E+25,1,6.13E+25,2.34E+25
Cn,Copernicium,285,Anom,artificial,6.42E+25,2.45E+25,1,6.42E+25,2.45E+25
Nh,Nihonium,284,Anom,artificial,6.40E+25,2.44E+25,1,6.40E+25,2.44E+25
Fl,Flerovium,289,Anom,artificial,6.51E+25,2.49E+25,1,6.51E+25,2.49E+25
Mc,Moscovium,288,Anom,artificial,6.49E+25,2.48E+25,1,6.49E+25,2.48E+25
Lv,Livermorium,292,Anom,artificial,6.58E+25,2.51E+25,1,6.58E+25,2.51E+25
Ts,Tennessine,295,Anom,artificial,6.64E+25,2.54E+25,1,6.64E+25,2.54E+25
Og,Oganesson,294,Anom,artificial,6.62E+25,2.53E+25,1,6.62E+25,2.53E+25
